FILE_NAME,GROUP_NAME,GOLD_TABNUMBER,EXTRACTED_TABNUMBER,RESULT,FIELD_NAME,CHILD_GOLD,CHILD_EXTRACTED
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_2.html,product_group,0,,"FP,FN"
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_2.html,product_group,,,,product,VOLUPTATE INVENTORE A,
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_2.html,product_group,,,,quantity,391771.00,r.00
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_2.html,product_group,,1,FP
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_2.html,product_group,,,,product,,Barge / Vessel
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_2.html,product_group,,2,FP
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_2.html,product_group,,,,product,,Volume Delv’d
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_2.html,product_group,,0,FP
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_2.html,product_group,,,,product,,"US Dollars 
   
  6/11/2016 
   T XOM EXCH / XOM #536 
   Car"
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_3.html,product_group,0,,"FP,FN"
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_3.html,product_group,,,,product,PERSPICIATIS OPTIO ULLAM QUIBUSDAM QUI,
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_3.html,product_group,,,,quantity,70445.00,r.00
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_3.html,product_group,,0,FP
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_3.html,product_group,,,,product,,Barge / Vessel
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_3.html,product_group,,1,FP
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_3.html,product_group,,,,product,,Volume Delv’d
389057_1526301926_1.html,product_group,,1,"FP,FN"
389057_1526301926_1.html,product_group,,,,product,CDW CUSTOM HW SRVR REQ4443 Manufacturer Part Number REQ4443,No: MYI5410HLX
389057_1526301926_1.html,product_group,,,,quantity,1.00,1.00
389057_1526301926_1.html,product_group,,,,price,0.00,287.99
389057_1526301926_1.html,product_group,,3,FP
389057_1526301926_1.html,product_group,,,,quantity,,5.00
389057_1526301926_1.html,product_group,,2,FP
389057_1526301926_1.html,product_group,,,,quantity,,2.00
389057_1526301926_1.html,product_group,,4,FP
389057_1526301926_1.html,product_group,,,,quantity,,1.00
389057_1526301926_1.html,product_group,,0,FP
389057_1526301926_1.html,product_group,,,,product,,No: MXQ5510015
389057_1526301926_1.html,product_group,,,,price,,12021.83
389057_1526301926_2.html,product_group,,1,"FP,FN"
389057_1526301926_2.html,product_group,,,,product,CDW CUSTOM HW SRVR REQ4443 Manufacturer Part Number REQ4443,No: MYI5410HLX
389057_1526301926_2.html,product_group,,,,quantity,1.00,1.00
389057_1526301926_2.html,product_group,,,,price,0.00,287.99
389057_1526301926_2.html,product_group,,0,FP
389057_1526301926_2.html,product_group,,,,product,,MXQ5510015                          1
389057_1526301926_2.html,product_group,,,,price,,12021.83
389057_1526301926_2.html,product_group,,4,FP
389057_1526301926_2.html,product_group,,,,quantity,,1.00
389057_1526301926_2.html,product_group,,3,FP
389057_1526301926_2.html,product_group,,,,quantity,,5.00
389057_1526301926_2.html,product_group,,2,FP
389057_1526301926_2.html,product_group,,,,quantity,,2.00
389842_advanced_1526302224_1.html,product_group,,0,"FP,FN"
389842_advanced_1526302224_1.html,product_group,,,,product,Exercitationem sit nam labore nesciunt. Exercitationem sit nam labore nesciunt. Quidem cupiditate eligendi.,labore nesciunt. Quidem cupiditate eligendi.
389842_advanced_1526302224_1.html,product_group,,,,price,55.99,
389842_advanced_1526302224_2.html,product_group,,0,"FP,FN"
389842_advanced_1526302224_2.html,product_group,,,,product,Nostrum porro beatae. Nostrum porro beatae. Consequuntur asperiores voluptatum vitae.,voluptatum vitae.
389842_advanced_1526302224_2.html,product_group,,,,price,21.32,
b_424261_1526302379_1.html,product_group,,,FN
b_424261_1526302379_1.html,product_group,,,,product,2816999 HP ETHERNET 10GB 2P 560SFP ADAPT,
b_424261_1526302379_1.html,product_group,,,,quantity,3.00,
b_424261_1526302379_1.html,product_group,,,,price,69.96,
c_427915_1526302430_0.html,product_group,,2,"FP,FN"
c_427915_1526302430_0.html,product_group,,,,product,HP 16GB 2RX4 PC4-2133P-R KIT,
c_427915_1526302430_0.html,product_group,,,,quantity,48.00,48.00
c_427915_1526302430_0.html,product_group,,,,price,164.39,164.39
c_427915_1526302430_0.html,product_group,,1,FP
c_427915_1526302430_0.html,product_group,,,,quantity,,16.00
c_427915_1526302430_0.html,product_group,,,,price,,224.54
c_427915_1526302430_0.html,product_group,,0,FP
c_427915_1526302430_0.html,product_group,,,,price,,7899.07
doc00123920180117122119.html,product_group,0,0,TP
doc00123920180117122119.html,product_group,,,,product,Intelligent Wooden Computer,Intelligent Wooden Computer
doc00123920180117122119.html,product_group,,,,quantity,15.00,15.00
doc00123920180117122119.html,product_group,,,,price,481.68,481.68
doc00123920180117122119.html,product_group,1,1,TP
doc00123920180117122119.html,product_group,,,,product,Intelligent Bronze Chair,Intelligent Bronze Chair
doc00123920180117122119.html,product_group,,,,quantity,39.00,39.00
doc00123920180117122119.html,product_group,,,,price,349.09,349.09
doc00123920180117122119.html,product_group,3,3,TP
doc00123920180117122119.html,product_group,,,,product,Heavy Duty Wool Bottle,Heavy Duty Wool Bottle
doc00123920180117122119.html,product_group,,,,quantity,39.00,39.00
doc00123920180117122119.html,product_group,,,,price,730.14,730.14
doc00123920180117122119.html,product_group,2,2,TP
doc00123920180117122119.html,product_group,,,,product,Enormous Wool Shirt,Enormous Wool Shirt
doc00123920180117122119.html,product_group,,,,quantity,59.00,59.00
doc00123920180117122119.html,product_group,,,,price,761.52,761.52
doc00125020180117122554.html,product_group,8,8,TP
doc00125020180117122554.html,product_group,,,,product,Aerodynamic Steel Shoes,Aerodynamic Steel Shoes
doc00125020180117122554.html,product_group,,,,quantity,22.00,22.00
doc00125020180117122554.html,product_group,,,,price,343.57,343.57
doc00125020180117122554.html,product_group,0,0,TP
doc00125020180117122554.html,product_group,,,,product,Awesome Plastic Bench,Awesome Plastic Bench
doc00125020180117122554.html,product_group,,,,quantity,27.00,27.00
doc00125020180117122554.html,product_group,,,,price,940.38,940.38
