fe_id,fname,score
c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@9a8f13c03821ae12496e2a28e2af87b6,0,1.0
c.w.n.u.fe.cell.cellFEs.FirstLineRectangleFE@4d59011a0f66cb145c231af0f6563be3,0,1.0
c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@2e7b9c138a81c5d003823996f5aea4c2,0,1.0
c.w.n.u.f.c.t.AnnotationValueRepeatedInPageFE@7c18e616ee2a100576e39066b18e874e,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.n.u.f.cell.tokenFEs.SimilarityToKeywordsFE@801d6ed15fc0f87c2581ae6332e0135e,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.n.u.f.cell.tokenFEs.SimilarityToKeywordsFE@5118512d1b873cecb610d876d062c6cc,0,1.0
c.w.n.u.f.c.c.PreviousCellSameLineCoveredTokensFE@240a99fe8bce684342c501a3f464d2f1,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.n.u.f.cell.tokenFEs.SimilarityToKeywordsFE@a9a3fbfd738d9267467bc9b619d98139,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.n.u.f.cell.tokenFEs.SimilarityToKeywordsFE@6e36a614f138a558170483fdeefbe7bd,0,1.0
c.w.n.u.f.c.t.CellAnyAnnotationRepeatedInColumnFE@0432c7bfba2b17dc0cd6e43f35add33d,0,1.0
c.w.n.u.f.c.cellFEs.NumberOfRepeatedCellsInTableFE@4acaeb3b2dace1aa052345e6d2025070,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.n.u.f.c.tokenFEs.KeywordsInAnnotationYesNoFE@b1322fdb0f5e6128ae313681e555ebff,0,0.9444444444444444
c.w.n.u.f.c.columnFEs.NerCountPercentageInColumnFE@eb53e7a667b013a23d5d33bac35a54ca,0,0.9333333333333333
c.w.vds.nlp.fe.context.ContextFE$c.w.n.u.f.cell.tokenFEs.SimilarityToKeywordsFE@fabbc635ae0c37866e4e9ff6b88d3990,0,0.9248554913294798
c.w.vds.nlp.fe.context.ContextFE$c.w.n.u.f.c.tokenFEs.KeywordsInAnnotationYesNoFE@7141a70fa815ad57342ecbe809814e49,0,0.9166666666666666
c.w.n.u.f.c.r.CellFirstRowSameColumnCoveredTokenFE@d3b135d624fb095bb9de11f12950df69,0,0.9090909090909091
c.w.vds.nlp.fe.context.ContextFE$c.w.n.u.f.cell.tokenFEs.SimilarityToKeywordsFE@57ad3a44252af8b754e1bdd347d70ff7,0,0.9010989010989011
c.w.vds.nlp.fe.context.ContextFE$c.w.n.u.f.cell.tokenFEs.SimilarityToKeywordsFE@8e2fcda5454fde0b0995afe16b49a7e9,0,0.9
c.w.vds.nlp.fe.context.ContextFE$c.w.n.u.f.c.tokenFEs.KeywordsInAnnotationYesNoFE@3047425b9b4934bcd9fb69e3ca2c6e0c,0,0.8846153846153846
c.w.vds.nlp.fe.context.ContextFE$c.w.n.u.f.c.tokenFEs.KeywordsInAnnotationYesNoFE@2e760933b6261db7038dca6d1161a07b,0,0.8846153846153846
c.w.vds.nlp.fe.context.ContextFE$c.w.n.u.f.cell.tokenFEs.SimilarityToKeywordsFE@2153b4ce3c7044221b2e3be75db193fa,0,0.8636363636363636
c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@3024bb135fb2aa4005af345dcf85187d,0,0.85
c.w.vds.nlp.fe.context.ContextFE$c.w.n.u.f.cell.tokenFEs.SimilarityToKeywordsFE@5b6b75569c775320c4acbbe435c4fdd7,0,0.8349514563106796
c.w.vds.nlp.fe.context.ContextFE$c.w.n.u.f.cell.tokenFEs.SimilarityToKeywordsFE@7a97e856a601e6ef82a87e26d3115f39,0,0.8349514563106796
c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@15a8c009fcbc1ba0a9b2570188d8da19,0,0.8031496062992126
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.TypePathFE@5b7215112b2057d65f2dd4f9845e827c,0,0.8
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.TypePathFE@d1c0a0ab76327bc3b49bf7efe0bd9730,0,0.7647058823529411
c.w.vds.nlp.fe.context.ContextFE$c.w.n.u.f.cell.tokenFEs.SimilarityToKeywordsFE@952048ce5c620340f82f1332aecb32eb,0,0.75
c.w.n.u.f.c.tokenFEs.ElementValueRepeatedInTableFE@fe57e38b9b642cc9340e7c1d34bc9dc1,0,0.7130434782608696
c.w.n.u.f.c.t.FocusElementRepeatedInSearchElementFE@cf81622c3a9692e200eb398871264b87,0,0.7130434782608696
c.w.n.u.f.c.t.ElementValueRepeatedInDocumentFE@079f3561f549d77cb25b125bce929921,0,0.664
c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@a3901df68d6d659f618825c676ff3eca,0,0.6617050067658998
c.w.vds.nlp.fe.context.ContextFE$c.w.n.u.f.c.tokenFEs.KeywordsInAnnotationYesNoFE@13a10e39f34a1355cbf94deca1e585c0,0,0.6290322580645161
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.TypePathFE@3fb8a92ade8504def5d9ad4fa111e918,0,0.5897435897435898
c.w.v.s.n.c.fe.ner.IsFirstNerInFocusElementFE@ba5633dc740b9bdc436c8a702ccacfba,0,0.569060773480663
