fe_id,fname,score
c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@9a8f13c03821ae12496e2a28e2af87b6,0,1.0
c.w.n.u.f.c.tokenFEs.ElementValueRepeatedInTableFE@fe57e38b9b642cc9340e7c1d34bc9dc1,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@cd38f9e55fcebb1bf56ed599e31a526b,0,1.0
c.w.n.u.f.c.tokenFEs.CellFirstTwoTokensNoCaseFE@4c6d017115c10501c684de0d6377d442,0,1.0
c.w.n.uima.fe.cell.tokenFEs.CellTokenX1xN3FE@277180cc8a197c0a436e7563e41fcd3b,0,1.0
c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@49ea28cef8a7c000192e9f5d92a5ff11,0,1.0
c.w.n.uima.fe.cell.tokenFEs.CellTokenXx2N3FE@0ddbd9099708b2a795b43f3132cef31f,0,1.0
c.w.nlp.uima.fe.token.FirstNCharsFE@155f082158d2c32fa401de4232903a87,0,1.0
c.w.n.uima.fe.cell.tokenFEs.CellLastTokenFE@45ec5729e87fa4b8d1b3af4b43a79c7e,0,1.0
c.w.nlp.uima.fe.token.LastNCharsFE@01eef5bc86249216460bbce6d3e85f42,0,1.0
c.w.n.u.fe.cell.cellFEs.FirstLineRectangleFE@4d59011a0f66cb145c231af0f6563be3,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@6c4222e51bc19b824c0993b4f39f78b8,0,1.0
c.w.n.u.f.cell.charFEs.FollowingNnonEmptyCharsFE@3c7f76c4ba3248d558da04f637db915e,0,1.0
c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@2e7b9c138a81c5d003823996f5aea4c2,0,1.0
c.w.n.u.f.c.t.FocusElementRepeatedInSearchElementFE@cf81622c3a9692e200eb398871264b87,0,1.0
c.w.n.u.f.cell.tokenFEs.CellFirstTokenNoCaseFE@bec680ec5fb9780699bcfe42ef525ed7,0,1.0
c.w.n.uima.fe.cell.tokenFEs.CellTokenXxNFE@95996bec922cb4093e40c4c0232e1918,0,1.0
c.w.n.u.fe.cell.tokenFEs.CellLastTokenNoCaseFE@bc5b223ea439a31d1cdcbb81117b2bc4,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@9b1171cbb93fbe2f0effb7ba319d3d75,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@f5eeeae062affaeba98d325bf89fc8ee,0,1.0
c.w.nlp.uima.fe.token.FirstNCharsFE@b9a97995f55ff45c56009a31b9964b28,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@09c7ee6832b5030207c82b8b95bd98f6,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@f3002b9f5ebf34b61f17038f805a1a10,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@26543b85cc1f32ecbf462e8e8e25ce4e,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@b75ac7bf0f48e91e67db0ffa88ede804,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@cca97a15cb9370a958004987569edbba,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@bf1b7de819eb5bc85d802bf20969885f,0,1.0
c.w.nlp.uima.fe.token.LastNCharsFE@ef7610e6917f60c9885db8e8f1d96c60,0,1.0
c.w.nlp.uima.fe.token.LastNCharsFE@c16c5d5946c82c69f042b7eac675023d,0,1.0
c.w.n.u.f.c.c.PreviousCellSameLineCoveredTokensFE@240a99fe8bce684342c501a3f464d2f1,0,1.0
c.w.nlp.uima.fe.token.FirstNCharsFE@02e5d6ee0f6a70d2bba7a670e231bec1,0,1.0
c.w.nlp.uima.fe.token.LastNCharsFE@06d9341f807d047462d1904ebd2bda1c,0,1.0
c.w.n.u.f.cell.charFEs.FollowingNnonEmptyCharsFE@37bcb6010ccc89643526bb88c463821c,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@48fa4a99a3dd3651f43bba684c0561c0,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@694f9c23cadc9fc7041114dbab722a3f,0,1.0
c.w.n.u.fe.cell.tokenFEs.CellTokenX1x2N3FE@bbb69dd3992d28cc07e3427cd086b829,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@c8934cc5a4e999ccc78e2bb94d5b9fbc,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@4d2ead19730bbd82e0e9c77814d9dbeb,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@afb6a5b7bdbbf5363c45037c62525095,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@cb089ea2fa65a401a41863cba8c02ecb,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@8c3ca298a41d02cf2e3c0c19f0306841,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@940ca0df3887948a81e94485d91a5190,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@0907ca75751167fe429826db69f2c3d0,0,1.0
c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@c4655e7991253521f4b4e1b4d130ed64,0,1.0
c.w.nlp.uima.fe.token.FirstNCharsFE@51290c8a954e60d2b30acfd89dbdfdc7,0,1.0
c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@3024bb135fb2aa4005af345dcf85187d,0,1.0
c.w.n.u.f.cell.charFEs.FollowingNnonEmptyCharsFE@04a17c7bf8abd466181dfcd432c4be57,0,1.0
c.w.n.u.f.c.t.ElementValueRepeatedInDocumentFE@079f3561f549d77cb25b125bce929921,0,1.0
c.w.n.uima.fe.cell.tokenFEs.CellTokenX1x1NFE@2c9b730d95cd0540b056eb4898a3b661,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@f26028066669608d51ff6977362daef4,0,1.0
c.w.n.u.f.c.t.CellAnyAnnotationRepeatedInColumnFE@0432c7bfba2b17dc0cd6e43f35add33d,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@ab37014246ce1cb4fecb1b5d0b16d8e5,0,1.0
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.AdvancedLowerCaseFE@374b7d7cfa383557fc6ed968606bd123,0,1.0
c.w.n.u.f.c.r.CellFirstRowSameColumnCoveredTokenFE@d3b135d624fb095bb9de11f12950df69,0,0.9534883720930233
c.w.n.u.f.c.columnFEs.CellColumnNumToLastPortionFE@73c83d5e08156b8cef5a21380a5ecf91,0,0.9285714285714286
c.w.n.u.f.c.c.CellColumnNumToFirstPortionFE@bbbbc38275caa7dfcd17cf44c583bbcb,0,0.9285714285714286
c.w.n.u.f.c.b.PreviousBlockSameLineCoveredTokensFE@d5e1e89e63ffe57e2b4b194c98e88ca3,0,0.9230769230769231
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.SpecialCharFE@f210033c7bef00159d8f3f7a318cf4bf,0,0.84
c.w.n.u.f.cell.charFEs.FollowingNnonEmptyCharsFE@73d8d392c4b26055414f8b1f0d0f7142,0,0.7894736842105263
c.w.vds.nlp.fe.context.ContextFE$c.w.nlp.uima.fe.token.SpecialCharFE@edb497aca9e0312b4c6403ffc6bf79b0,0,0.7894736842105263
c.w.nlp.uima.fe.token.LastNCharsFE@9374f5c8fca5e1207ef5f3692b4f9cf1,0,0.77
c.w.n.u.f.cell.charFEs.PreviousNnonEmptyCharsFE@f90b547f60153cd0b5d8168cb1e29533,0,0.7524752475247525
c.w.n.uima.fe.cell.cellFEs.LineCountInCellFE@55e0c75e38d8e6c72547c0d82ca792da,0,0.7471264367816092
c.w.n.u.fe.cell.tableFEs.MaxCellSizeInTableFE@9ebbf320c9bf07db203273800afa6bab,0,0.7454545454545455
c.w.n.u.f.cell.columnFEs.CellColumnNumToLastFE@f37c1187ed3be0f3d59a21587b8f2b51,0,0.7142857142857143
c.w.n.u.f.c.tableFEs.RepeatedCellRatioInTableFE@9c809addbe3446cffd504b22bee02659,0,0.6301369863013698
