COMPONENT_NAME,FE_ON_START_AVERAGE,FE_ON_START_MIN,FE_ON_START_MAX,FE_EXTRACT_AVERAGE,FE_EXTRACT_MIN,FE_EXTRACT_MAX,TOTAL_AVERAGE,TOTAL_MIN,TOTAL_MAX
com.workfusion.nlp.uima.fe.cell.tokenFEs.IsLargestPriceInRowFE,0.01,0.00,0.17,2.62,0.29,52.88,2.63,0.30,52.90
com.workfusion.nlp.uima.fe.cell.charFEs.AreLastNCharNumbersFE,0.03,0.02,0.15,3.73,0.90,30.07,3.77,0.92,30.12
com.workfusion.nlp.uima.fe.token.DateTokensCountFE,0.39,0.01,35.07,1.20,0.15,100.49,1.59,0.22,100.63
com.workfusion.nlp.uima.fe.cell.tokenFEs.ElementValueRepeatedInTableFE,0.34,0.04,46.71,0.15,0.02,39.57,0.50,0.07,46.87
com.workfusion.nlp.uima.fe.token.IsMiddleOfNamedEntityFE,0.01,0.00,8.45,1.05,0.11,132.83,1.06,0.11,132.85
com.workfusion.vds.sdk.nlp.component.fe.ner.IsFirstNerInFocusElementFE,1.87,0.17,90.75,0.35,0.01,89.49,2.22,0.19,91.71
com.workfusion.nlp.uima.fe.cell.blockFEs.PreviousBlockSameLineCoveredTokensFE,0.42,0.02,44.48,0.97,0.09,91.46,1.39,0.17,91.76
com.workfusion.vds.sdk.nlp.component.fe.PositionInCoveringFE,0.12,0.03,52.13,1.07,0.12,60.55,1.19,0.17,60.61
com.workfusion.nlp.uima.fe.cell.cellFEs.NumberOfTokensInCellNotInNerFE,0.73,0.01,50.35,0.94,0.11,136.64,1.67,0.18,140.07
com.workfusion.nlp.uima.fe.cell.columnFEs.CellNumberBiggerThanUpCellFE,1.18,0.02,40.38,0.65,0.08,154.39,1.82,0.22,155.28
com.workfusion.nlp.uima.fe.cell.columnFEs.CellNumberBiggerThanSumOfUpTwoCellsFE,1.18,0.02,45.33,0.53,0.10,12.51,1.71,0.29,46.65
com.workfusion.nlp.uima.fe.ElementTypeRegexFE,0.42,0.06,51.35,0.14,0.01,62.64,0.56,0.07,62.82
com.workfusion.nlp.uima.fe.cell.tokenFEs.CellFirstTwoTokensNoCaseFE,0.60,0.01,40.95,1.01,0.11,85.64,1.61,0.20,86.55
com.workfusion.nlp.uima.fe.cell.cellFEs.PreviousCellSameLineCoveredTokensFE,0.55,0.00,70.50,0.98,0.08,92.56,1.53,0.13,93.25
com.workfusion.nlp.uima.fe.token.CharPatternXxNFE,0.00,0.00,0.12,0.83,0.11,118.90,0.84,0.11,118.90
com.workfusion.nlp.uima.fe.cell.tableFEs.MaxCellSizeInTableFE,0.12,0.01,33.64,1.80,0.28,188.16,1.92,0.32,188.34
com.workfusion.nlp.uima.fe.cell.cellFEs.FirstLineRectangleFE,0.39,0.00,68.39,1.18,0.11,191.15,1.57,0.14,191.61
com.workfusion.nlp.uima.fe.cell.tokenFEs.SimilarityToKeywordsFE,95.38,0.73,1062.49,16.40,1.10,246.62,111.79,2.44,1155.25
com.workfusion.nlp.uima.fe.cell.charFEs.PreviousNnonEmptyCharsFE,0.04,0.01,21.69,2.67,0.20,211.03,2.71,0.21,211.06
com.workfusion.nlp.uima.fe.cell.tokenFEs.CellTokenX1xN3FE,0.47,0.01,90.47,1.05,0.09,118.85,1.52,0.13,119.17
com.workfusion.nlp.uima.fe.token.WordShapeFE,0.01,0.00,21.09,2.67,0.28,110.60,2.68,0.29,110.60
com.workfusion.vds.sdk.nlp.component.fe.ner.IsLastNerInFocusElementFE,1.78,0.18,145.50,0.29,0.01,78.50,2.07,0.21,145.64
com.workfusion.nlp.uima.fe.CoveredTextLengthFE,0.01,0.00,13.01,4.05,0.30,92.43,4.06,0.30,92.44
com.workfusion.nlp.uima.fe.cell.tokenFEs.CellTokenX1x1NFE,0.47,0.01,112.98,1.11,0.11,77.87,1.58,0.16,113.63
com.workfusion.nlp.uima.fe.cell.columnFEs.CellNumberEqualsSumOfAllUpCellsFE,1.76,0.01,57.83,0.54,0.08,38.53,2.30,0.16,59.01
com.workfusion.nlp.uima.fe.token.SpecialCharFE,0.02,0.00,16.20,5.28,0.10,169.63,5.30,0.11,169.66
com.workfusion.nlp.uima.fe.ner.PreviousCellSameLineCoveredNersFE,0.29,0.00,6.80,0.63,0.06,26.34,0.92,0.09,26.45
com.workfusion.vds.sdk.nlp.component.fe.FocusElementKeywordsFE,0.95,0.12,65.91,0.18,0.01,38.28,1.13,0.16,66.04
com.workfusion.nlp.uima.fe.cell.tokenFEs.TokenPositionInNerFE,0.00,0.00,0.12,1.14,0.17,56.50,1.14,0.17,56.50
com.workfusion.nlp.uima.fe.cell.rowFEs.CellFirstRowSameColumnCoveredTokenFE,4.13,0.02,391.41,0.18,0.01,99.25,4.31,0.05,391.69
mle.cert.assignment.fe.IsCoveredByNerFE,0.00,0.00,0.19,68.34,0.18,1129.45,68.34,0.19,1129.45
com.workfusion.nlp.uima.fe.token.IsBeginOfNamedEntityFE,0.00,0.00,13.11,0.93,0.09,58.91,0.93,0.10,58.91
mle.cert.assignment.fe.IsNerPresentFE,0.00,0.00,0.36,41.45,0.12,1141.35,41.46,0.13,1141.35
com.workfusion.nlp.uima.fe.token.FirstAdjacentCapitalCharsFE,0.00,0.00,0.18,0.70,0.12,18.33,0.70,0.12,18.34
mle.cert.assignment.fe.TableNumberFE,0.00,0.00,0.02,1.39,0.15,28.94,1.39,0.15,28.94
com.workfusion.nlp.uima.fe.cell.tokenFEs.CellLastTokenNoCaseFE,0.59,0.05,51.19,0.70,0.08,70.29,1.29,0.19,71.84
com.workfusion.nlp.uima.fe.cell.charFEs.AreFirstNCharNumbersAndCapitalizedFE,0.02,0.02,0.44,1.35,0.40,27.36,1.38,0.41,27.37
