FILE_NAME,GROUP_NAME,GOLD_TABNUMBER,EXTRACTED_TABNUMBER,RESULT,FIELD_NAME,CHILD_GOLD,CHILD_EXTRACTED
doc00123720180117122026.html,product_group,3,,"FP,FN"
doc00123720180117122026.html,product_group,,,,product,Heavy Duty Wool Bottle,Heavy Duty Wool Bottle
doc00123720180117122026.html,product_group,,,,quantity,39.00,39
doc00123720180117122026.html,product_group,,,,price,730.14,730.14
doc00123720180117122026.html,product_group,2,,FN
doc00123720180117122026.html,product_group,,,,product,Enormous Wool Shirt,
doc00123720180117122026.html,product_group,,,,quantity,59.00,
doc00123720180117122026.html,product_group,,,,price,761.52,
doc00123720180117122026.html,product_group,0,,FN
doc00123720180117122026.html,product_group,,,,product,Intelligent Wooden Computer,
doc00123720180117122026.html,product_group,,,,quantity,15.00,
doc00123720180117122026.html,product_group,,,,price,481.68,
doc00123720180117122026.html,product_group,1,,FN
doc00123720180117122026.html,product_group,,,,product,Intelligent Bronze Chair,
doc00123720180117122026.html,product_group,,,,quantity,39.00,
doc00123720180117122026.html,product_group,,,,price,349.09,
doc00124120180117122213.html,product_group,7,,"FP,FN"
doc00124120180117122213.html,product_group,,,,product,Durable Leather Plate,Durable Leather Plate
doc00124120180117122213.html,product_group,,,,quantity,35.00,35
doc00124120180117122213.html,product_group,,,,price,930.36,930.36
doc00124120180117122213.html,product_group,5,,FN
doc00124120180117122213.html,product_group,,,,product,Heavy Duty Copper Shoes,
doc00124120180117122213.html,product_group,,,,quantity,82.00,
doc00124120180117122213.html,product_group,,,,price,228.18,
doc00124120180117122213.html,product_group,6,,FN
doc00124120180117122213.html,product_group,,,,product,Ergonomic Linen Wallet,
doc00124120180117122213.html,product_group,,,,quantity,49.00,
doc00124120180117122213.html,product_group,,,,price,529.82,
doc00124120180117122213.html,product_group,4,,FN
doc00124120180117122213.html,product_group,,,,product,Ergonomic Wool Plate,
doc00124120180117122213.html,product_group,,,,quantity,76.00,
doc00124120180117122213.html,product_group,,,,price,621.36,
doc00124120180117122213.html,product_group,3,,FN
doc00124120180117122213.html,product_group,,,,product,Aerodynamic Paper Lamp,
doc00124120180117122213.html,product_group,,,,quantity,42.00,
doc00124120180117122213.html,product_group,,,,price,433.46,
doc00124120180117122213.html,product_group,0,,FN
doc00124120180117122213.html,product_group,,,,product,Synergistic Cotton Watch,
doc00124120180117122213.html,product_group,,,,quantity,83.00,
doc00124120180117122213.html,product_group,,,,price,366.44,
doc00124120180117122213.html,product_group,1,,FN
doc00124120180117122213.html,product_group,,,,product,Enormous Marble Shirt,
doc00124120180117122213.html,product_group,,,,quantity,71.00,
doc00124120180117122213.html,product_group,,,,price,190.55,
doc00124120180117122213.html,product_group,2,,FN
doc00124120180117122213.html,product_group,,,,product,Gorgeous Iron Keyboard,
doc00124120180117122213.html,product_group,,,,quantity,12.00,
doc00124120180117122213.html,product_group,,,,price,257.78,
doc00124220180117122255.html,product_group,8,,"FP,FN"
doc00124220180117122255.html,product_group,,,,product,Gorgeous Granite Bag,Gorgeous Granite Bag
doc00124220180117122255.html,product_group,,,,quantity,54.00,93
doc00124220180117122255.html,product_group,,,,price,491.42,491.-2
doc00124220180117122255.html,product_group,1,,FN
doc00124220180117122255.html,product_group,,,,product,Lightweight Iron Wallet,
doc00124220180117122255.html,product_group,,,,quantity,60.00,
doc00124220180117122255.html,product_group,,,,price,189.54,
doc00124220180117122255.html,product_group,0,,FN
doc00124220180117122255.html,product_group,,,,product,Awesome Wooden Lamp,
doc00124220180117122255.html,product_group,,,,quantity,57.00,
doc00124220180117122255.html,product_group,,,,price,216.69,
doc00124220180117122255.html,product_group,3,,FN
doc00124220180117122255.html,product_group,,,,product,Gorgeous rubber Lame,
doc00124220180117122255.html,product_group,,,,quantity,59.00,
doc00124220180117122255.html,product_group,,,,price,393.92,
doc00124220180117122255.html,product_group,4,,FN
doc00124220180117122255.html,product_group,,,,product,Aerodynamic Alumina Dlate,
doc00124220180117122255.html,product_group,,,,quantity,75.00,
doc00124220180117122255.html,product_group,,,,price,467.46,
doc00124220180117122255.html,product_group,6,,FN
doc00124220180117122255.html,product_group,,,,product,Practical Paper Car,
doc00124220180117122255.html,product_group,,,,quantity,17.00,
doc00124220180117122255.html,product_group,,,,price,657.23,
doc00124220180117122255.html,product_group,7,,FN
doc00124220180117122255.html,product_group,,,,product,Gorgeous Plastic F ate,
doc00124220180117122255.html,product_group,,,,quantity,93.00,
doc00124220180117122255.html,product_group,,,,price,415.38,
doc00124220180117122255.html,product_group,5,,FN
doc00124220180117122255.html,product_group,,,,product,Gergeo-sAluminum lest,
doc00124220180117122255.html,product_group,,,,quantity,16.00,
doc00124220180117122255.html,product_group,,,,price,364.69,
doc00124220180117122255.html,product_group,2,,FN
doc00124220180117122255.html,product_group,,,,product,Gorgeous Linen Pants,
doc00124220180117122255.html,product_group,,,,quantity,89.00,
doc00124220180117122255.html,product_group,,,,price,601.90,
doc00128620180117124239.html,product_group,3,,"FP,FN"
doc00128620180117124239.html,product_group,,,,product,Awesome Cotton Shirt,Awesome Cotton Shirt
doc00128620180117124239.html,product_group,,,,quantity,80.00,80
doc00128620180117124239.html,product_group,,,,price,277.33,277.33
doc00128620180117124239.html,product_group,0,,FN
doc00128620180117124239.html,product_group,,,,product,Rustic Granite Wallet,
doc00128620180117124239.html,product_group,,,,quantity,39.00,
doc00128620180117124239.html,product_group,,,,price,606.17,
doc00128620180117124239.html,product_group,1,,FN
doc00128620180117124239.html,product_group,,,,product,Ergonomic Concrete Bag,
doc00128620180117124239.html,product_group,,,,quantity,38.00,
doc00128620180117124239.html,product_group,,,,price,423.83,
doc00128620180117124239.html,product_group,2,,FN
doc00128620180117124239.html,product_group,,,,product,Rustic Bronze Bench,
doc00128620180117124239.html,product_group,,,,quantity,31.00,
doc00128620180117124239.html,product_group,,,,price,854.99,
doc00130020180117124820.html,product_group,4,,"FP,FN"
doc00130020180117124820.html,product_group,,,,product,Sleek Concrete Chair,Sleek Concrete Chair
doc00130020180117124820.html,product_group,,,,quantity,72.00,72
doc00130020180117124820.html,product_group,,,,price,692.83,692.83
doc00130020180117124820.html,product_group,0,,FN
doc00130020180117124820.html,product_group,,,,product,Gorgeous Silk Computer,
doc00130020180117124820.html,product_group,,,,quantity,99.00,
doc00130020180117124820.html,product_group,,,,price,814.26,
doc00130020180117124820.html,product_group,1,,FN
doc00130020180117124820.html,product_group,,,,product,Small Marble Plate,
doc00130020180117124820.html,product_group,,,,quantity,86.00,
doc00130020180117124820.html,product_group,,,,price,210.27,
doc00130020180117124820.html,product_group,2,,FN
doc00130020180117124820.html,product_group,,,,product,Durable Copper Wallet,
doc00130020180117124820.html,product_group,,,,quantity,74.00,
doc00130020180117124820.html,product_group,,,,price,816.10,
doc00130020180117124820.html,product_group,3,,FN
doc00130020180117124820.html,product_group,,,,product,Fantastic Rubber Plate,
doc00130020180117124820.html,product_group,,,,quantity,77.00,
doc00130020180117124820.html,product_group,,,,price,152.20,
doc00131320180117125408.html,product_group,5,,"FP,FN"
doc00131320180117125408.html,product_group,,,,product,Heavy Duty Leather Watch,Hea.n Dut. _eather Watch
doc00131320180117125408.html,product_group,,,,quantity,74.00,74
doc00131320180117125408.html,product_group,,,,price,440.65,440.65
doc00131320180117125408.html,product_group,1,,FN
doc00131320180117125408.html,product_group,,,,product,Awesome iron Coat,
doc00131320180117125408.html,product_group,,,,quantity,40.00,
doc00131320180117125408.html,product_group,,,,price,316.53,
doc00131320180117125408.html,product_group,4,,FN
doc00131320180117125408.html,product_group,,,,product,Intelligent Leather Hat,
doc00131320180117125408.html,product_group,,,,quantity,182.00,
doc00131320180117125408.html,product_group,,,,price,204.30,
doc00131320180117125408.html,product_group,0,,FN
doc00131320180117125408.html,product_group,,,,product,Awesome Steel Shoes,
doc00131320180117125408.html,product_group,,,,quantity,18.00,
